Gameweek,Deadline Time,Is Current,Is Next,Finished
1,2024-08-16T17:30:00Z,False,False,True
2,2024-08-24T10:00:00Z,False,False,True
3,2024-08-31T10:00:00Z,False,False,True
4,2024-09-14T10:00:00Z,False,False,True
5,2024-09-21T10:00:00Z,False,False,True
6,2024-09-28T10:00:00Z,False,False,True
7,2024-10-05T10:00:00Z,False,False,True
8,2024-10-19T10:00:00Z,False,False,True
9,2024-10-25T17:30:00Z,False,False,True
10,2024-11-02T11:00:00Z,False,False,True
11,2024-11-09T13:30:00Z,False,False,True
12,2024-11-23T11:00:00Z,False,False,True
13,2024-11-29T18:30:00Z,False,False,True
14,2024-12-03T18:00:00Z,False,False,True
15,2024-12-07T11:00:00Z,False,False,True
16,2024-12-14T13:30:00Z,True,False,True
17,2024-12-21T11:00:00Z,False,True,False
18,2024-12-26T11:00:00Z,False,False,False
19,2024-12-29T13:00:00Z,False,False,False
20,2025-01-04T11:00:00Z,False,False,False
21,2025-01-14T18:00:00Z,False,False,False
22,2025-01-18T11:00:00Z,False,False,False
23,2025-01-25T13:30:00Z,False,False,False
24,2025-02-01T11:00:00Z,False,False,False
25,2025-02-14T18:30:00Z,False,False,False
26,2025-02-21T18:30:00Z,False,False,False
27,2025-02-25T18:15:00Z,False,False,False
28,2025-03-08T13:30:00Z,False,False,False
29,2025-03-15T13:30:00Z,False,False,False
30,2025-04-01T17:15:00Z,False,False,False
31,2025-04-05T12:30:00Z,False,False,False
32,2025-04-12T12:30:00Z,False,False,False
33,2025-04-19T12:30:00Z,False,False,False
34,2025-04-26T12:30:00Z,False,False,False
35,2025-05-03T12:30:00Z,False,False,False
36,2025-05-10T12:30:00Z,False,False,False
37,2025-05-18T12:30:00Z,False,False,False
38,2025-05-25T13:30:00Z,False,False,False
