Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Fábio Vieira,1,3,5.4,0.0,0.0,0
G.Jesus,1,4,6.7,0.9,0.8,10
Gabriel,1,2,6.2,23.8,4.8,69
Havertz,1,4,7.9,10.0,3.0,61
Hein,1,1,4.0,0.0,0.0,0
J.Timber,1,2,5.7,7.4,5.8,53
Jorginho,1,3,4.7,0.2,1.2,10
Kiwior,1,2,4.8,0.2,2.0,13
Martinelli,1,3,6.7,2.5,1.2,53
Nwaneri,1,3,4.5,0.4,1.8,14
Ødegaard,1,3,8.3,5.9,4.4,36
Raya,1,1,5.6,31.0,4.4,64
Rice,1,3,6.2,2.5,2.8,33
Saka,1,3,10.6,44.4,7.8,106
Saliba,1,2,6.3,30.2,7.6,61
Thomas,1,3,5.0,0.9,3.4,48
Tierney,1,2,4.3,0.0,0.0,0
Tomiyasu,1,2,4.8,0.0,0.0,1
Trossard,1,3,6.8,1.7,3.6,49
White,1,2,6.1,2.5,0.0,27
Zinchenko,1,2,4.8,0.9,1.4,15
Neto,1,1,4.2,0.9,0.0,7
Sterling,1,3,6.7,0.9,1.0,9
Calafiori,1,2,5.8,1.2,1.2,20
Lewis-Skelly,1,3,4.5,0.1,0.6,4
Merino,1,3,6.0,0.1,1.6,21
Oulad M'hand,1,3,4.5,0.0,0.0,0
Setford,1,1,4.5,0.0,0.0,0
Kacurri,1,2,4.0,0.1,0.0,0
Heaven,1,2,4.0,0.0,0.0,0
Kabia,1,3,4.5,0.0,0.0,0
Nichols,1,2,4.0,0.0,0.0,0
Butler-Oyedeji,1,4,4.5,0.2,0.0,0
Bailey,2,3,6.2,0.8,1.2,27
Barkley,2,3,5.2,0.3,2.6,28
Barrenechea,2,3,4.9,0.0,0.0,0
Buendia,2,3,5.2,0.1,0.4,6
Cash,2,2,4.4,1.4,1.8,22
Dendoncker,2,3,4.5,0.2,0.0,0
Diaby,2,3,6.5,0.0,0.0,0
Diego Carlos,2,2,4.5,0.5,1.6,20
Digne,2,2,4.7,9.0,1.4,44
Dobbin,2,3,5.0,0.0,0.0,0
Duran,2,4,5.8,3.1,3.0,46
Gauci,2,1,4.0,0.8,0.0,0
Hause,2,2,3.9,0.5,0.0,0
Iling Jr,2,3,5.4,0.0,0.0,0
Kamara,2,3,5.0,0.0,1.8,11
Kesler-Hayden,2,2,4.0,0.0,0.0,0
Konsa,2,2,4.4,7.8,2.4,32
Maatsen,2,2,4.6,1.4,0.6,12
Marschall,2,1,4.0,0.0,0.0,0
Martinez,2,1,5.0,12.1,2.6,45
McGinn,2,3,5.2,0.8,3.6,33
Mings,2,2,4.4,0.1,0.4,2
Nedeljkovic,2,2,3.9,0.9,0.0,3
Olsen,2,1,4.5,0.1,0.2,1
Pau,2,2,4.4,1.4,1.8,28
Ramsey,2,3,5.4,0.2,0.0,22
Rogers,2,3,5.3,19.5,3.2,61
Sinisalo,2,1,4.0,0.0,0.0,0
Sousa,2,2,4.0,0.1,0.0,0
Tielemans,2,3,5.5,1.1,2.2,45
Watkins,2,4,8.9,17.8,4.6,78
Onana,2,3,4.9,2.9,0.2,32
Jaden,2,3,5.3,0.0,0.8,9
Bogarde,2,2,4.0,0.3,0.0,2
Swinkels,2,2,4.0,0.1,0.0,0
Zych,2,1,4.0,0.7,0.0,0
Young,2,3,4.5,0.2,0.0,0
Broggio,2,3,4.5,0.0,0.0,0
Aarons,3,2,4.3,0.2,0.2,1
Adams,3,3,4.9,0.0,1.4,10
Anthony,3,3,4.5,0.1,0.0,0
Brooks,3,3,4.9,0.0,2.8,18
Christie,3,3,4.9,0.1,2.0,33
Cook,3,3,5.0,0.2,1.2,42
Enes Ünal,3,4,5.4,0.1,4.0,28
Faivre,3,3,5.0,0.0,0.0,0
H.Traorè,3,3,4.5,0.1,0.0,0
Hill,3,2,3.9,0.4,0.2,1
Jebbison,3,4,4.5,1.0,0.0,2
Kerkez,3,2,4.7,5.8,4.0,50
Kluivert,3,3,5.5,4.3,6.0,65
Mepham,3,2,4.4,0.0,0.0,0
O.Dango,3,3,5.0,0.0,3.4,39
Paulsen,3,1,4.0,0.0,0.0,0
Philip,3,3,4.8,0.0,0.8,6
Scott,3,3,4.7,0.0,0.0,11
Semenyo,3,3,5.7,6.3,1.8,55
Senesi,3,2,4.7,0.4,0.4,21
Sinisterra,3,3,4.9,0.1,0.0,19
Smith,3,2,4.5,0.2,3.2,34
Tavernier,3,3,5.5,0.3,3.0,48
Travers,3,1,4.4,0.2,0.0,10
Zabarnyi,3,2,4.4,0.4,2.6,35
Arrizabalaga,3,1,4.5,1.0,2.8,33
Huijsen,3,2,4.3,0.7,4.2,26
J.Araujo,3,2,4.3,0.1,0.0,8
Dennis,3,1,4.0,0.4,0.0,0
Evanilson,3,4,6.1,4.3,4.0,65
Kinsey,3,2,4.0,0.0,0.0,0
Winterburn,3,3,4.5,0.0,0.0,0
Ajer,4,2,4.4,0.2,0.2,8
Brierley,4,3,4.5,0.1,0.0,0
Collins,4,2,4.5,2.5,3.8,48
Damsgaard,4,3,5.0,1.3,4.0,60
Dasilva,4,3,4.8,0.0,0.0,0
Flekken,4,1,4.5,11.6,4.0,49
Henry,4,2,4.3,0.0,0.0,0
Hickey,4,2,4.3,0.0,0.0,0
Janelt,4,3,4.9,0.4,1.2,44
Jensen,4,3,5.3,0.1,0.8,17
Ji-soo,4,2,3.9,0.4,0.0,0
Konak,4,3,4.5,0.1,0.0,4
Lewis-Potter,4,3,5.0,0.1,1.8,38
Mbeumo,4,3,7.6,28.2,5.8,105
Mee,4,2,4.2,0.4,0.2,2
Nørgaard,4,3,4.8,0.2,1.4,31
Onyeka,4,3,4.9,0.0,0.0,2
Peart-Harris,4,3,4.5,0.0,0.0,0
Pinnock,4,2,4.5,0.9,2.0,33
Roerslev,4,2,4.3,0.1,0.8,16
Schade,4,3,5.1,0.8,7.6,56
Thiago,4,4,5.9,0.0,1.0,5
Toney,4,4,7.3,1.2,0.0,0
Valdimarsson,4,1,3.9,3.0,0.0,0
Wissa,4,4,6.2,10.7,4.2,75
Yarmoliuk,4,3,4.4,3.4,1.6,15
Zanka,4,2,4.5,0.0,0.0,0
Carvalho,4,3,4.6,0.7,1.0,26
Van den Berg,4,2,4.1,3.6,2.0,20
Trevitt,4,3,4.4,0.0,0.0,1
G.Nunes,4,3,4.9,0.0,0.0,0
Meghoma,4,2,4.0,0.0,0.2,1
Yogane,4,3,4.5,0.0,0.0,0
Maghoma,4,3,4.5,0.0,0.4,2
Adingra,5,3,5.2,0.3,1.0,22
Baker-Boaitey,5,3,4.5,0.0,0.0,0
Baleba,5,3,5.0,0.2,1.8,37
Barco,5,2,4.0,2.9,0.0,0
Cozier-Duberry,5,3,4.5,0.0,0.0,0
Dahoud,5,3,4.9,0.0,0.0,0
Dunk,5,2,4.4,3.9,0.4,24
Enciso,5,3,5.4,0.1,0.2,8
Estupiñan,5,2,5.1,2.1,2.6,19
Ferguson,5,4,5.5,0.3,1.2,18
Gilmour,5,3,5.0,0.0,0.0,3
Gross,5,3,6.5,0.0,0.0,0
Hinshelwood,5,3,4.9,0.1,0.0,28
I.Osman,5,3,5.0,0.0,0.0,0
Igor,5,2,4.4,0.1,1.2,15
João Pedro,5,4,5.9,22.0,4.6,53
Kozlowski,5,3,4.5,0.0,0.0,0
Lamptey,5,2,4.4,0.5,2.6,16
March,5,3,6.5,0.0,0.0,0
Mazilu,5,3,4.5,0.0,0.0,0
Milner,5,3,5.0,0.0,0.0,5
Minteh,5,3,5.1,0.4,2.0,31
Mitoma,5,3,6.6,8.7,5.0,63
Moder,5,3,4.4,0.8,0.0,2
O’Mahony,5,4,4.5,0.2,0.0,0
Offiah,5,2,4.0,0.1,0.0,0
Peupion,5,3,4.4,0.1,0.0,0
Sarmiento,5,3,4.9,0.0,0.0,1
Steele,5,1,4.2,1.1,0.0,9
Undav,5,4,5.5,0.0,0.0,0
Van Hecke,5,2,4.5,1.1,1.2,29
Veltman,5,2,4.5,2.3,0.4,34
Verbruggen,5,1,4.5,3.2,1.6,36
Webster,5,2,4.3,0.1,0.0,1
Welbeck,5,4,5.8,13.4,1.0,69
Wieffer,5,3,4.7,0.1,1.4,19
Gruda,5,3,5.4,0.0,0.4,6
Ayari,5,3,5.0,0.0,2.0,24
Moran,5,3,5.0,0.0,0.0,0
Rushworth,5,1,4.0,0.0,0.0,0
Georginio,5,3,5.5,1.2,2.4,52
F.Kadıoğlu,5,2,4.5,0.2,0.0,19
O'Riley,5,3,5.5,0.1,0.6,11
Samuels,5,2,4.0,0.0,0.0,0
Cahill,5,1,3.9,1.4,0.0,0
McConville,5,2,4.0,0.0,0.0,0
Slater,5,2,4.0,0.0,0.0,0
Andrey Santos,6,3,4.5,0.0,0.0,0
Ângelo,6,3,4.5,0.1,0.0,0
B.Badiashile,6,2,4.3,0.1,0.8,5
