Player,Team,Position,GW,Predicted Points
Palmer,CHE,MID,21,6.0
Palmer,CHE,MID,22,6.4
Palmer,CHE,MID,23,4.4
Palmer,CHE,MID,24,6.5
Palmer,CHE,MID,25,4.8
Palmer,CHE,MID,26,4.8
M.Salah,LIV,MID,21,5.5
M.Salah,LIV,MID,22,6.4
M.Salah,LIV,MID,23,6.2
M.Salah,LIV,MID,24,5.0
M.Salah,LIV,MID,25,6.3
M.Salah,LIV,MID,26,5.0
Isak,NEW,FWD,21,5.1
Isak,NEW,FWD,22,5.1
Isak,NEW,FWD,23,5.1
Isak,NEW,FWD,24,5.1
Isak,NEW,FWD,25,3.8
Isak,NEW,FWD,26,5.3
Forster,TOT,GK,21,4.6
Forster,TOT,GK,22,4.0
Forster,TOT,GK,23,3.3
Forster,TOT,GK,24,4.3
Forster,TOT,GK,25,3.4
Forster,TOT,GK,26,3.5
José Sá,WOL,GK,21,4.5
José Sá,WOL,GK,22,4.5
José Sá,WOL,GK,23,3.6
José Sá,WOL,GK,24,3.4
José Sá,WOL,GK,25,5.0
José Sá,WOL,GK,26,4.3
Travers,BOU,GK,21,4.4
Travers,BOU,GK,22,4.4
Travers,BOU,GK,23,3.3
Travers,BOU,GK,24,3.9
Travers,BOU,GK,25,4.2
Travers,BOU,GK,26,3.2
Austin,TOT,GK,21,4.4
Austin,TOT,GK,22,3.7
Austin,TOT,GK,23,3.3
Austin,TOT,GK,24,4.0
Austin,TOT,GK,25,3.3
Austin,TOT,GK,26,3.2
Whiteman,TOT,GK,21,4.4
Whiteman,TOT,GK,22,3.7
Whiteman,TOT,GK,23,3.3
Whiteman,TOT,GK,24,4.0
Whiteman,TOT,GK,25,3.4
Whiteman,TOT,GK,26,3.2
Leno,FUL,GK,21,4.3
Leno,FUL,GK,22,4.0
Leno,FUL,GK,23,3.9
Leno,FUL,GK,24,4.8
Leno,FUL,GK,25,3.9
Leno,FUL,GK,26,3.9
B.Fernandes,MUN,MID,21,4.3
B.Fernandes,MUN,MID,22,4.2
B.Fernandes,MUN,MID,23,3.8
B.Fernandes,MUN,MID,24,4.1
B.Fernandes,MUN,MID,25,4.2
B.Fernandes,MUN,MID,26,3.6
Ramsdale,SOU,GK,21,4.3
Ramsdale,SOU,GK,22,3.8
Ramsdale,SOU,GK,23,3.7
Ramsdale,SOU,GK,24,3.4
Ramsdale,SOU,GK,25,3.5
Ramsdale,SOU,GK,26,3.5
Dennis,BOU,GK,21,4.2
Dennis,BOU,GK,22,4.2
Dennis,BOU,GK,23,3.4
